Month,Asian Civilisations Museum,National Museum Of Singapore,Singapore Art Museum,Peranakan Museum,Science Centre Singapore,Mandai Bird Paradise,Night Safari,River Wonders,Singapore Zoological Gardens,Chinese/Japanese Gardens,Sun Yat Sen Nanyang Memorial Hall,Indian Heritage Centre,Malay Heritage Centre,Children's Museum Singapore,Changi Chapel And Museum,Reflections At Bukit Chandu
2007-11,57.5,62,24.4,na,68.2,na,84,na,84,34.8,na,na,na,na,na,na
2007-12,47,56.8,23,na,126.4,na,104.5,na,165.1,37.7,na,na,na,na,na,na
2008-1,53.4,53,21.6,na,40.9,na,98.7,na,100.5,35.6,na,na,na,na,na,na
2008-2,55.6,75.8,21.7,na,70.1,na,85.1,na,109.1,54.9,na,na,na,na,na,na
2008-3,74.6,92.4,35,na,67.9,na,129.9,na,141.1,50.3,na,na,na,na,na,na
2008-4,49.6,68.6,27.8,10.5,46.4,na,68,na,100.9,54.9,na,na,na,na,na,na
2008-5,76.8,84.3,49.7,32,101.2,na,107,na,139.9,53,na,na,na,na,na,na
2008-6,53.8,73.5,50.4,15.9,128,na,100.9,na,153,45.1,na,na,na,na,na,na
2008-7,63.5,124.5,64.3,30.2,99.5,na,108.3,na,140.8,53.5,na,na,na,na,na,na
2008-8,58.7,67.4,54.3,23.5,89,na,115.3,na,132.7,50.8,na,na,na,na,na,na
2008-9,45.4,54.6,46.6,10.8,67.7,na,64.4,na,87.5,85.2,na,na,na,na,na,na
2008-10,58.1,64.7,71.1,16,82.2,na,102.6,na,125.8,49.5,na,na,na,na,na,na
2008-11,57.6,56.9,71.7,17.9,129.6,na,85,na,150.1,61.7,na,na,na,na,na,na
2008-12,50.6,56.2,63.7,15.1,116.9,na,112.3,na,208.2,72,na,na,na,na,na,na
2009-1,44,53.8,51.2,22.3,63.6,na,92.4,na,143.9,91.2,na,na,na,na,na,na
2009-2,42.3,49.9,55.2,30.6,46.3,na,69.7,na,103.6,67.9,na,na,na,na,na,na
2009-3,83.2,57.1,59.3,19.6,86,na,93,na,150.4,76,na,na,na,na,na,na
2009-4,67.5,61.9,59.4,26.9,55.6,na,73.9,na,128.5,71.2,na,na,na,na,na,na
2009-5,83.9,62.4,78.1,23.5,73.5,na,94.6,na,134.7,73.3,na,na,na,na,na,na
2009-6,93,70.6,50.9,18.3,126.6,na,104.7,na,162.1,56.6,na,na,na,na,na,na
2009-7,49.7,94.3,85,22.3,90.7,na,108,na,130,66.4,na,na,na,na,na,na
2009-8,57.8,72.3,75.9,17.9,107.3,na,108.3,na,136.5,72.8,na,na,na,na,na,na
2009-9,42.1,88.4,76,24.3,81.6,na,90.8,na,129,68.8,na,na,na,na,na,na
2009-10,61.1,95.2,53.7,19.4,66,na,111.4,na,127.7,77.3,na,na,na,na,na,na
2009-11,62.2,80.2,51,22.2,116.8,na,68.6,na,124.8,57.8,na,na,na,na,na,na
2009-12,52.2,71.9,47.9,23.4,145.3,na,120.8,na,192.4,61.8,na,na,na,na,na,na
2010-1,39,73.5,50.5,16.5,82.7,na,77.9,na,114.5,66.4,na,na,na,na,na,na
2010-2,47.1,60.2,37.8,13.7,106.8,na,87.4,na,127,84.7,na,na,na,na,na,na
2010-3,65.4,104.1,45.5,22.5,90.3,na,88.5,na,135.8,73.1,na,na,na,na,na,na
2010-4,48,57.8,51.9,18.8,94.1,na,84.6,na,127.1,90.4,na,na,na,na,na,na
2010-5,85.2,68.1,66.1,20.6,98.8,na,107.7,na,153,74.6,na,na,na,na,na,na
2010-6,69.3,62.4,59.7,18.8,124.1,na,103.1,na,160.5,66.3,na,na,na,na,na,na
2010-7,72.5,79.9,86.1,23.1,66.6,na,110.7,na,150,69.5,na,na,na,na,na,na
2010-8,71,71.3,50.3,26,51.4,na,109.6,na,132.5,61.3,na,na,na,na,na,na
2010-9,63.7,60.7,48.3,15.5,62.4,na,74.1,na,117.4,167.1,na,na,na,na,na,na
2010-10,80.2,76.4,50.3,16.7,67.1,na,117.6,na,110.9,54.4,na,na,na,na,na,na
2010-11,65.5,68.8,42.7,18.3,101.4,na,69.5,na,122,33.3,na,na,na,na,na,na
2010-12,70.3,64,50.7,14.4,179.8,na,98.9,na,179.8,33.3,na,na,na,na,na,na
2011-1,61.7,77.5,48.7,14.8,102.6,na,77.4,na,94.5,50.1,na,na,na,na,na,na
2011-2,59.5,49.1,39.6,22.1,93.2,na,83,na,131.9,106,na,na,na,na,na,na
2011-3,74.9,64.9,51.8,16.6,72.4,na,78.6,na,134.3,96.8,na,na,na,na,na,na
2011-4,51.2,70.8,53.7,14.6,73.2,na,90.5,na,146.2,82.9,na,na,na,na,na,na
2011-5,49.3,110.8,49.5,16.8,88.9,na,91.4,na,140.4,81.6,na,na,na,na,na,na
2011-6,55.2,119.5,56.2,25.8,98.8,na,92,na,155.7,72.9,na,na,na,na,na,na
2011-7,92.6,76,53.8,18.3,80.1,na,123.8,na,169.5,91.5,na,na,na,na,na,na
2011-8,113.9,90.8,93.6,29,80.1,na,115.1,na,149.8,58.9,na,na,na,na,na,na
2011-9,65.9,59.4,56,14.9,49,na,79.6,na,117.9,150.3,na,na,na,na,na,na
2011-10,101.8,80.4,51.9,18.3,71.6,na,90.4,na,134.4,63,na,na,na,na,na,na
2011-11,42.3,72,42,28.8,99.1,na,78.7,na,121.9,65.5,na,na,na,na,na,na
2011-12,46.2,61.4,39.8,14.3,144.9,na,97.9,na,173.7,43.6,na,na,na,na,na,na
2012-1,40.2,78.9,40.6,18.6,80.2,na,103.7,na,141,65.4,na,na,na,na,na,na
2012-2,45.6,58.4,39.2,25.2,90.8,na,92,na,108.4,62.8,na,na,na,na,na,na
2012-3,46.3,62.2,47.7,19.2,68.7,na,89.5,na,139.3,75.1,na,na,na,na,na,na
2012-4,56.9,72.7,49.2,22,55,na,93.1,na,143.7,82.9,na,na,na,na,na,na
2012-5,44.7,79.7,55.8,19.5,74.7,na,95.8,na,138.3,73.3,na,na,na,na,na,na
2012-6,36.5,67.3,72.1,29.9,95.9,na,103.7,na,155.8,72.2,na,na,na,na,na,na
2012-7,41.8,78.6,67.6,21.8,83.5,na,114.3,na,155.9,70.7,na,na,na,na,na,na
2012-8,45.6,105,106.7,41.7,68.3,na,119,na,163.5,71.6,na,na,na,na,na,na
2012-9,38.1,75.7,51.4,26.1,50.9,na,82.2,na,126.3,126.4,na,na,na,na,na,na
2012-10,56.9,77.8,41.2,14.9,83.7,na,91.1,na,126.5,69.5,na,na,na,na,na,na
2012-11,35.4,74.8,43.2,17.9,89.7,na,76.9,na,124.8,68.5,na,na,na,na,na,na
2012-12,36.8,55,41.5,13.2,127.7,na,102.2,na,233,72.6,na,na,na,na,na,na
2013-1,36,64.7,46.4,15,67.5,na,93.3,na,152,49.2,na,na,na,na,na,na
2013-2,33.8,74.5,37.5,14,59.9,na,88.2,na,136.7,50.6,na,na,na,na,na,na
2013-3,44.5,82,44.3,14.7,56.7,na,97.2,na,180.3,74.3,na,na,na,na,na,na
2013-4,36.3,70.4,39.3,17.7,49.6,na,81.8,42,127.3,49.8,na,na,na,na,na,na
2013-5,36.7,79.3,54.2,28.2,69.7,na,96.6,58.3,135.4,57.3,na,na,na,na,na,na
2013-6,34.3,97.6,90.3,38.3,85.4,na,96.8,78.7,143.2,58.9,na,na,na,na,na,na
2013-7,35.2,106.3,65.7,35,84.4,na,116.9,62.2,175.4,69.9,na,na,na,na,na,na
2013-8,42.3,194.7,113.5,68.8,88.7,na,136.7,86.7,182.9,60.4,na,na,na,na,na,na
2013-9,40.9,108.3,41.1,30.3,45.4,na,77.9,65.8,127.4,39.8,na,na,na,na,na,na
2013-10,42.6,104,62.8,35.8,63.7,na,94.5,63.3,132.2,60,na,na,na,na,na,na
2013-11,39.3,103.5,72.6,39.1,116.8,na,78,77.6,127.4,58.4,na,na,na,na,na,na
2013-12,30.5,113.9,61.2,36.9,111.7,na,110,168.7,183.9,64.6,na,na,na,na,na,na
2014-1,36.5,105.7,71.7,33.5,59.9,na,105.7,103,135.7,82.7,4.1,na,11.6,na,na,na
2014-2,37.7,112.2,67.5,30.2,58.6,na,96.4,102.2,134.7,79.7,8.1,na,12.1,na,na,na
2014-3,49.4,71.4,50.6,27.6,52.6,na,89.2,123,131.5,99.1,3.5,na,15.4,na,na,na
2014-4,46.5,62.4,54.7,25.4,41.2,na,87.5,86.1,132.9,94.8,2.8,na,13,na,na,na
2014-5,38.6,84.3,52.4,27.5,52.7,na,101.8,94.9,138.5,88.3,9,na,15.4,na,na,na
2014-6,25.7,75.3,49.6,32.2,108.7,na,98.7,118,141.7,93.8,7.6,na,12.2,na,na,na
2014-7,44.8,74,48.4,37,130.2,na,122.6,93.3,155.7,78.5,6.7,na,15.4,na,na,na
2014-8,28.4,102,109.3,80,99.2,na,136.8,94.4,169.4,65.9,6.6,na,17.9,na,na,na
2014-9,27.9,63.7,47.7,31.9,64,na,77.6,68.3,118.3,56.6,8.8,na,12.3,na,na,na
2014-10,33.2,50.5,68.4,30.9,70.8,na,96.6,84.7,129.9,78.7,17.7,na,18,na,na,na
2014-11,27.3,50.9,64.9,31,86,na,69.9,85.6,125.4,71.3,10.6,na,14.1,na,na,na
2014-12,27.3,49.6,58.7,29.8,128.4,na,97.1,91,164.5,61.8,7,na,9.1,na,na,na
2015-1,26.3,50.9,84.3,34.3,58.3,na,94.7,50.5,129.7,61.9,4.5,na,36.2,na,na,na
2015-2,25.9,46.2,49.8,32.5,68.9,na,106.1,59.2,156.3,88.9,18.7,na,36.8,na,na,na
2015-3,26,56.3,67.2,36,75.5,na,80.4,53.7,127.9,86.8,3.7,na,36.1,na,na,na
2015-4,25.1,89,72.9,33.2,78.9,na,78.8,56.1,133.3,96.9,5.6,na,33.3,na,na,na
2015-5,23.3,84,82.7,38.3,87.6,na,101.2,73.3,153.1,85.8,7.7,43.4,37.6,na,na,na
2015-6,24.5,76,95.6,36.8,75.9,na,93.9,87.1,190.1,87.4,10.3,23.9,38.2,na,na,na
2015-7,30,56.2,83.3,39.8,94.2,na,127.1,82.8,184.5,86.7,7.5,23.8,47.2,na,na,na
2015-8,45.9,108.9,143.5,93.5,191.4,na,137.3,119.7,223.3,74.2,6.6,23.3,59.2,na,na,na
2015-9,19.7,45.4,58.5,32.5,67.3,na,80.7,56.3,115.8,64.1,10.8,36.4,33.9,na,na,na
2015-10,39.5,50.7,64.8,33.1,69,na,87.2,54.7,106.2,53.7,6.7,21.3,43.1,na,na,na
2015-11,39.7,50.9,55.1,32.6,78.9,na,74.6,59.4,125.8,70,8.8,14,44.3,na,na,na
2015-12,23.7,60.1,45.5,33,100.1,na,97,90.3,187.4,83.1,6.4,9,51,na,na,na
2016-1,34.8,60.7,47.2,29.3,64.1,na,97.5,54.2,134.9,105.2,6.2,11.5,34.7,na,na,na
2016-2,38.3,50.4,34.7,25.3,76.8,na,91.4,57.6,153.7,121.6,10.8,13,31.8,na,na,na
2016-3,68.9,50.8,38.8,43.2,81.6,na,91,60.6,144.2,122.8,8.4,11.3,49.9,na,na,na
2016-4,46.3,60.3,35.8,28.3,66.5,na,81.7,54.4,128,160.2,4.1,11.2,35.9,na,na,na
2016-5,45,76.9,75.5,29.9,73.7,na,101,67.5,149.2,74.8,8.9,10.7,43.9,na,na,na
2016-6,32.7,89,83.7,27.2,83,na,99.3,73.8,144.5,68,4.6,10.1,43.4,na,na,na
2016-7,40.7,55.2,69.7,37.5,87.4,na,130,89.5,183.8,81.4,6.2,16.3,55,na,na,na
2016-8,42.5,93.9,128,122.9,86.3,na,132.8,95.8,188.9,183.6,5.5,12.7,50.4,na,na,na
2016-9,50.8,62.7,34.3,42.3,57.9,na,75,55.1,119,107.3,28,12.4,37.8,na,na,na
2016-10,53.6,56.7,55.9,41.4,69,na,85.4,75.6,134.9,172.3,15.9,15.8,41.6,na,na,na
2016-11,40.4,56.2,68,39.9,95,na,67.4,56.9,117.4,49.6,22.8,12.1,40.7,na,na,na
2016-12,40.3,64.6,61.2,41.2,114.5,na,98,101.9,198.5,67.8,11.8,9,43.1,na,na,na
2017-1,52.2,65.7,61.5,41.2,78.7,na,103.8,73.1,161.9,78.7,15.5,12.7,49.3,na,na,na
2017-2,40.5,69.5,67.4,40.5,70.4,na,92.5,60.8,133.1,88.2,11.3,12.2,57.3,na,na,na
2017-3,37.4,60.7,24.6,59.5,80.1,na,92.6,70.4,145.5,71.6,8,14.9,59.7,na,na,na
2017-4,42.5,49.2,11.5,38,59.2,na,99.9,74.6,156.6,68.7,8.5,12.5,50.6,na,na,na
2017-5,49.9,58.3,38.7,38.9,63.5,na,109.7,78.8,148.2,71.4,13.8,15.8,48.9,na,na,na
2017-6,48,64.1,37.6,39.1,81.5,na,112.6,87.3,160.2,92.8,5.1,11.6,70,na,na,na
2017-7,43.4,72.4,30.7,39.3,94.6,na,130,91.9,187.5,86.6,6.3,13.9,73.3,na,na,na
2017-8,41.3,190.1,69.2,72.3,88.6,na,139.8,110.8,200.9,83.3,7.7,17.4,60.2,na,na,na
2017-9,28.9,60.8,12,27,51.5,na,88.6,64.9,134.1,85.8,10.5,17.5,48.2,na,na,na
2017-10,36.9,83.3,21.8,26.8,69.2,na,103.5,77.5,152.1,76.7,13.6,24.5,68.9,na,na,na
2017-11,33.2,60.8,20,25.6,55.9,na,75.3,60.4,116.3,68.9,14,9.5,57.5,na,na,na
2017-12,34.4,66.6,19.7,24.9,81.5,na,113.5,102,195.4,52.1,7.7,14,53.8,na,na,na
2018-1,41.9,70.2,29.5,15,57.6,na,103.5,67.5,137.8,42.6,13,21,59.4,na,na,na
2018-2,36.9,74.6,21.9,15.9,77.7,na,114.4,71.8,163.1,53.4,33,12.2,65.7,na,na,na
2018-3,46.4,80.3,59.4,18.7,65.7,na,109.6,74.9,158.8,47.9,16.9,15.6,61.6,na,na,na
2018-4,45.6,67.4,50,19.9,49,na,98.3,71.4,153,58.2,15.7,17.4,53,na,na,na
2018-5,48.8,80.2,31.7,16.2,68.7,na,112.4,76.6,149.5,52.9,14.3,13.5,59.2,na,na,na
2018-6,44.1,82.9,41.7,15.6,78,na,114.2,83.4,167.7,68.5,20.8,16.2,79.7,na,na,na
2018-7,46.7,86.5,43.9,18.5,97.6,na,141.1,93.5,247.7,44.7,10.6,22.3,69.9,na,na,na
2018-8,42.3,131.8,84.7,38.4,97.2,na,156,105.4,245.5,53.7,13.3,16.7,67.7,na,na,na
2018-9,37.3,68.9,16.2,14.4,69.7,na,86.7,74.4,159.7,54.6,35.6,19.6,50.6,na,na,na
2018-10,49.7,79.5,29.9,14.6,68.1,na,96.2,75,158.4,56.3,14.6,30.7,53.8,na,na,na
2018-11,43.7,68.4,37.4,13.6,63.3,na,87.4,65.5,144.5,59.5,18,23.9,58.5,na,na,na
2018-12,41.4,68.9,73.3,12.5,70.5,na,109.6,98.9,223.4,66.9,8,12,49.7,na,na,na
2019-1,52,74.6,87.6,15.1,71.4,na,110.5,70.5,148.8,56.9,17.4,27.3,69.8,na,na,na
2019-2,55.2,82.9,50.6,14.7,66.7,na,113,81.2,184.4,65.2,25.7,13.8,63,na,na,na
2019-3,65.9,85.6,56.7,29.8,88.5,na,96.4,71.1,149.6,67.8,12.6,22.9,66.7,na,na,na
2019-4,48.5,72.1,40.8,0,63.4,na,101.9,74.4,155.4,86,12.6,17.5,54.4,na,na,na
2019-5,47.4,66.6,36,0,73.8,na,111,75,145.1,133.2,12.3,15.2,81,na,na,na
2019-6,58.1,116.3,39,0,108.4,na,115.9,85.8,181.7,0,22.8,18.8,55.9,na,na,na
2019-7,65,133.6,187.1,0,129.1,na,141.1,89.8,217.3,0,14.3,18.8,78,na,na,na
2019-8,64,186.6,46.3,0,125,na,158.3,108.1,250.4,0,26.4,16.7,70,na,na,na
2019-9,63.7,69.2,56.7,0,96.3,na,83.2,64.1,146.4,0,28.2,13.7,40.4,na,na,na
2019-10,56,81.7,3.5,0,77,na,99.2,82,164,0,13.9,34.1,65.3,na,na,na
2019-11,50.5,64.4,54.9,0,59.8,na,81.4,65.9,132.2,0,20.9,22.8,58.5,na,na,na
2019-12,44,65.7,131.9,0,68.2,na,106.2,93.9,192.4,0,12.3,14.4,58.4,na,na,na
2020-1,45.9,73.4,148.8,0,65.3,na,112.3,75,170.7,0,28.9,25.7,66.4,na,na,na
2020-2,28.9,42.3,97.9,0,31.5,na,42.7,23.7,49.5,0,23.3,7.3,38.8,na,na,na
2020-3,14.8,31.9,54.5,0,18.8,na,23.8,30.1,64.4,0,5.8,5.5,8,na,na,na
2020-4,1.4,2.2,0,0,1.9,na,1,1.5,3.6,0,1.2,0.8,0.7,na,na,na
2020-5,0,0,2.8,0,0,na,0,0,0,0,0,0,0,na,na,na
2020-6,1.9,3.9,17.2,0,0,na,0,0,0,0,0,0,0,na,na,na
2020-7,10,28.6,7.4,0,6.3,na,2.4,32.1,67.7,0,5.2,1.7,2.4,na,na,na
2020-8,12.8,31.6,0,0,10.5,na,21.8,39,77.6,0,7.1,2.3,3.2,na,na,na
2020-9,12,19.7,15.2,0,19.3,na,20.8,64.7,92.3,0,10.4,2.3,3.4,na,na,na
2020-10,13.9,28.6,15.3,0,11.6,na,28.8,61.7,100.2,0,12.7,2.8,4.7,na,na,na
2020-11,17.8,84.3,15,0,21.3,na,25.1,60.6,87.8,0,6.2,3.4,6.5,na,na,na
2020-12,23.1,84.4,27.9,0,56.6,na,64.4,119.7,169.2,0,9.4,2.5,10.9,na,na,na
2021-1,19.4,22.9,59.1,0,15.4,na,22.4,41,54.7,0,13,8,7,na,na,na
2021-2,17.9,21.5,179.4,0,9.7,na,21.7,42.2,67.2,0,20.4,4.4,8,na,na,na
2021-3,23,32,152.2,0,21.3,na,46.4,77.2,115.1,0,9.7,9.4,12.7,na,na,na
2021-4,21.1,27.2,60.8,0,16,na,27.8,47.7,64.1,0,7.6,9.4,9.5,na,na,na
2021-5,15.3,21.8,9.3,0,7.8,na,16.2,31.3,44.9,0,6.2,3.2,6.8,na,na,na
2021-6,11.4,20.5,17.7,0,14.1,na,21.9,42.5,65,0,7.7,2.1,4.5,na,na,na
2021-7,15.8,24.7,18.9,0,15.6,na,19.3,35.9,77.4,0,7.9,2.6,6.7,na,na,na
2021-8,15.7,27.2,20.8,0,11.6,na,16.2,37.5,67.8,0,6.5,2.4,4.5,na,na,na
2021-9,17.8,25.7,28.6,0,22.5,na,21.7,50.4,90.8,0,31.1,2.9,4.9,na,na,na
2021-10,14.4,24.6,28.9,0,14.3,na,18.9,40.5,64.5,0,5.8,4.5,5.2,na,na,na
2021-11,15.2,30,4.1,0,24.6,na,19,47,70.6,0,7.8,3,7.5,na,na,na
2021-12,20.1,56.3,16.3,0,63.4,na,48.2,96.8,147.8,0,8.8,3.1,10,na,na,na
2022-1,18.8,31.7,39.5,0,21.5,na,24.4,56.6,73.2,0,3.3,7.1,9.1,na,na,na
2022-2,14.4,36,25.5,0,16.5,na,18.9,48.1,65.8,0,5.2,2.5,6.6,na,na,na
2022-3,17.1,43.9,36,0,32.8,na,29.5,63.4,85.1,0,1.9,3.7,9.4,na,na,na
2022-4,19.3,36.7,26.1,0,29.1,na,29.9,52.8,66.2,0,1.9,5.1,17.1,na,na,na
2022-5,23.6,51.8,27.1,0,38.8,na,40.3,67.7,92.6,0,3.7,8.5,23.3,na,na,na
2022-6,30,84.5,28.3,0,64.1,na,54.6,76.7,105.5,0,3.2,7.3,21,na,na,na
2022-7,31.9,84.2,25.4,0,32.5,na,59.1,65.5,101.2,0,3.4,10.6,25.5,na,na,na
2022-8,31.9,100.4,44.8,0,25.6,na,52.7,63.8,88.8,0,6,9.3,25.2,na,na,na
2022-9,32.4,62.8,182.7,0,35.3,na,52.2,60.7,94,0,12.2,11.6,22.8,na,na,na
2022-10,39.1,82.2,70.8,0,33.9,na,56.9,60.4,110.8,0,3.9,32.6,36.6,na,na,na
2022-11,32.7,73,103.5,0,29.8,na,44.9,57.4,88.1,0,2.8,9.9,0,na,na,na
2022-12,27.1,72.5,108.7,0,49.7,na,70.8,79.6,131.1,0,2.7,6.1,0,na,na,na
2023-1,33.4,71.3,129.5,0,25,na,56.2,57.6,83.9,0,8.9,21.2,0,10.5,3.4,2.7
2023-2,31.4,65.7,81.9,18.8,18.5,na,49.2,47.7,76.2,0,5.6,11.5,0,16.5,5,4.1
2023-3,40,67.8,42.7,16.3,36.1,na,58.1,66.6,103.6,0,3.9,14.9,0,21.6,4.8,3.7
2023-4,31.4,70.1,57.1,14.2,37.2,13.3,73.7,69.9,119.1,0,5.1,19,0,16.4,3.9,3.2
2023-5,38.5,91.2,51.8,16.1,31.8,105,71.7,49.3,114.6,0,3.3,17.4,0,15.6,3.6,2.7
2023-6,33.5,106.5,62.2,16.2,57.2,121.5,76.9,77.2,127.7,0,5.1,13.6,0,18.1,4.2,2.7
2023-7,43.7,107.8,61.8,13.1,58.2,91.2,115.8,104.3,145.1,0,4,19.9,0,16.4,4,3.2
2023-8,39,150.4,62.5,28.5,51.7,89.4,119.2,107.8,145.1,0,3.8,16.8,0,29.6,4.1,3.1
2023-9,32.1,75.9,-,10.2,31,84.6,63.8,70.8,107.9,0,10.5,11.5,0,17.1,3.7,2.8
2023-10,33.1,79.3,-,10.8,32.3,77.5,74.1,90.7,110.1,0,5.2,25.2,0,17.6,3.6,2.7
2023-11,35.1,68,-,10.3,30.4,95.8,55.1,73,116.5,0,3.2,27.2,0,17.7,3.2,2.5
2023-12,25.9,66.7,-,9.9,50.8,102.8,73.5,81.1,134.7,0,2.8,7.7,0,22.1,3.1,2.4